FIPS,wkt_geom
01131,"31.83187,-87.19267 31.83340,-87.61697 31.88716,-87.66858 31.99888,-87.66711 32.01072,-87.66630 32.14129,-87.62055 32.27129,-87.51775 32.27503,-87.49760 32.27713,-87.43682 32.27565,-87.43089 32.05576,-86.85747 31.96687,-86.85986 31.84082,-86.91254 31.83187,-87.19267"
01133,"33.99435,-87.11050 33.99437,-87.15538 34.00722,-87.63770 34.31262,-87.63371 34.31325,-87.53410 34.30838,-87.24104 34.30259,-87.11047 33.99435,-87.11050"
02013,"53.95532,-166.11258 53.96158,-166.17934 53.96460,-166.19031 53.96595,-166.19191 53.97095,-166.19368 53.98326,-166.19580 53.98647,-166.19518 54.14655,-166.10324 54.17704,-166.08205 54.17936,-166.07980 54.18543,-166.07074 54.18685,-166.06770 54.92275,-164.48393 55.43760,-163.17484 56.88426,-158.89774 56.88543,-158.89337 56.80275,-158.89336 56.75435,-158.89398 54.91566,-159.19806 54.91299,-159.20001 54.89277,-159.21863 54.88330,-159.23181 54.88078,-159.23691 54.87074,-159.25810 54.76181,-159.52187 54.75913,-159.53406 54.34877,-162.46524 54.07640,-164.95984 54.04043,-165.29074 53.95532,-166.11258"
02016,"51.21724,-179.11459 51.21793,-179.11633 51.23261,-179.12894 51.27013,-179.13339 51.27836,-179.13187 51.59011,-179.04562 51.82280,-178.84514 51.83866,-178.82222 57.20589,-170.39832 57.25361,-170.13217 57.25395,-170.12801 57.25454,-170.10428 53.01149,172.78197 52.99065,173.12241 52.03123,179.65829 52.02921,179.66667 52.01127,179.71011 51.97641,179.77904 51.97496,179.78189 51.96692,179.78804 51.96458,179.78821 51.37490,179.47784 51.37312,179.47556 51.36834,179.46324 51.36745,179.46059 51.35780,179.40836 51.35735,179.40553 51.34951,179.25171 51.21724,-179.11459"
02020,"60.73287,-148.74690 60.73288,-148.83269 60.73292,-149.03717 60.73298,-149.03810 61.12455,-150.28378 61.12641,-150.28432 61.12912,-150.28369 61.17049,-150.21899 61.38298,-149.69754 61.46449,-149.39505 61.46636,-149.38782 61.46772,-149.37976 61.48452,-149.26839 61.48424,-149.24051 61.42617,-148.46207 61.16626,-148.46262 60.84959,-148.47166 60.73287,-148.74690"
02050,"58.55134,-161.76146 58.55207,-161.76682 60.19728,-172.76709 60.19796,-172.76930 60.50103,-173.06496 60.50191,-173.06538 60.65692,-173.10974 60.65791,-173.10927 60.66187,-173.10738 60.68993,-173.07895 60.69266,-173.07550 60.69386,-173.07321 60.69593,-173.06750 60.69734,-173.06340 60.69776,-173.05977 60.69786,-173.05885 61.94601,-160.53612 62.14125,-158.50020 62.32911,-153.06963 62.32910,-153.04007 62.32900,-153.00757 62.20617,-152.99706 61.85934,-152.98709 61.68631,-152.98694 61.51285,-152.98686 61.42618,-153.00980 61.01109,-153.44090 58.56119,-161.68370 58.55478,-161.71275 58.55140,-161.75970 58.55134,-161.76146"
02060,"58.61614,-157.25743 58.61617,-157.27058 58.87772,-157.01871 58.88222,-157.00804 58.88357,-157.00449 58.88379,-156.94702 58.88386,-156.86305 58.88388,-156.77995 58.88386,-156.44666 58.88384,-156.39008 58.88367,-156.32024 58.61639,-156.32063 58.61618,-156.34695 58.61614,-157.25743"
02068,"62.72563,-153.00552 63.65070,-152.87311 63.99708,-152.05772 64.06866,-151.81834 64.37533,-150.70995 64.37742,-150.42241 64.37865,-150.22394 64.38074,-149.13489 64.34640,-148.00551 64.25700,-147.57076 64.25299,-147.56578 64.24757,-147.56024 64.02417,-147.36360 63.61098,-147.25778 63.60911,-147.25740 63.60783,-147.25890 63.59405,-147.27928 63.57547,-147.33037 63.32600,-148.02562 62.72565,-151.89168 62.72564,-151.98663 62.72563,-153.00552"
02070,"58.39294,-158.88347 58.39327,-158.89482 58.54681,-161.07782 58.54766,-161.07967 58.54940,-161.08247 58.55208,-161.08450 58.69175,-161.18362 58.69402,-161.18387 58.99959,-161.03131 59.77933,-160.24811 60.38639,-159.60805 60.73301,-159.19032 60.90593,-158.88174 60.99281,-157.52209 60.99304,-157.25639 60.99299,-157.22719 60.99292,-157.19704 60.99286,-157.16783 60.90606,-156.00250 60.89923,-156.00189 59.69290,-155.99455 58.84781,-157.19662 58.40414,-158.81242 58.40130,-158.82365 58.39839,-158.84097 58.39294,-158.88347"
02090,"64.25681,-146.65854 64.25696,-147.57713 64.25709,-147.66408 64.25735,-147.77533 64.26131,-147.79414 64.34415,-148.05835 64.36166,-148.11105 64.58734,-148.65222 64.58921,-148.65271 64.86357,-148.66136 65.20975,-148.66156 65.43388,-146.50894 65.45387,-146.20232 65.45451,-146.19206 65.45314,-146.17931 65.11997,-143.98454 65.11897,-143.97841 65.10994,-143.94420 65.09199,-143.88792 65.09027,-143.88434 64.66679,-144.04649 64.65950,-144.05869 64.65264,-144.07066 64.58295,-144.46225 64.28196,-146.33707 64.25681,-146.65854"
